"competitor_name_unique","company_name_unique","rank","weight","company_uuid","company_founded_on","company_acquired_on","company_closed_on","competitor_uuid","competitor_founded_on","competitor_acquired_on","competitor_closed_on"
"dreamworks-animation","warner-bros",7,1,"4bc68929-b0bb-b5b1-2da7-775569d4233d","1918-04-04",NA,NA,"82c687db-b29a-5ec0-69c8-173e751dd5d1","1994-01-01","2016-04-28",NA
"dreamworks-animation","walt-disney-studios",1,1,"3ab4904a-7a40-a3da-13c7-d8ed6a0d1b8e","1950-06-01",NA,NA,"82c687db-b29a-5ec0-69c8-173e751dd5d1","1994-01-01","2016-04-28",NA
"drivedominion","reyrey",5,1,"b6bfa5d3-43c7-4e6f-8493-29ee84061ccd","1866-03-01",NA,NA,"a4acfde9-5c8f-406f-8f1f-7a8743b6f844","2006-01-01",NA,NA
"drivedominion","dealertrack",3,1,"0fd75bd1-2b8d-4575-b0dc-f1b54b0a6baf","2001-08-01",NA,NA,"a4acfde9-5c8f-406f-8f1f-7a8743b6f844","2006-01-01",NA,NA
"drivedominion","cdkglobal",3,1,"d0ffab5f-24a4-470d-8126-2759125f135b","1972-01-01",NA,NA,"a4acfde9-5c8f-406f-8f1f-7a8743b6f844","2006-01-01",NA,NA
"drivedominion","coxautoinc",6,1,"b3b2ee72-8b53-4ad5-afa5-fea60faccc85","2014-08-01",NA,NA,"a4acfde9-5c8f-406f-8f1f-7a8743b6f844","2006-01-01",NA,NA
"drivedominion","automate",7,1,"f06b620a-6342-8e31-d340-986eaff6155a","1970-01-01",NA,NA,"a4acfde9-5c8f-406f-8f1f-7a8743b6f844","2006-01-01",NA,NA
"drivedominion","autoalert",1,1,"f75d4769-da71-19ed-3fd4-9420612d4f61","2002-01-01",NA,NA,"a4acfde9-5c8f-406f-8f1f-7a8743b6f844","2006-01-01",NA,NA
"dsl-radio","radioliveonair",4,1,"adf8ba23-ee58-4f2e-ab4b-b735d2e83982",NA,NA,NA,"684c8f8d-be14-48ef-bd15-468bacc1eeac",NA,NA,NA
"dsl-radio","web-radio",1,1,"0d199b1e-5cc1-42a8-851c-36343acce91c","1995-01-01",NA,NA,"684c8f8d-be14-48ef-bd15-468bacc1eeac",NA,NA,NA
"dsl-radio","live365",4,1,"cb1524ca-c440-634c-22dd-1c516024de2c","1999-08-01","2018-02-20",NA,"684c8f8d-be14-48ef-bd15-468bacc1eeac",NA,NA,NA
"dsl-radio","mmp",1,1,"3df7fc4b-013f-8924-448c-0af8c886d05f",NA,NA,NA,"684c8f8d-be14-48ef-bd15-468bacc1eeac",NA,NA,NA
